"","Estimate","Std. Error","z value","Pr(>|z|)","."
"Ejumula","1.4348","0.1587","9.0416","< 2.2e-16 ***","a"
"Kakamega","0.2005","0.1461","1.373","0.169752  ","bc"
"NASPOT 10 (Kabode)","-0.1074","0.1506","-0.7128","0.475957  ","d"
"NASPOT 12","-0.1893","0.1539","-1.2297","0.218818  ","d"
"NASPOT 13","0.3951","0.1486","2.6586","0.007847 **","b"
"NASPOT 8","0",NA,NA,"NA ","cd"
