"","Estimate","Std. Error","z value","Pr(>|z|)","."
"Ejumula","0",NA,NA,"NA ","a"
"Kakamega","-1.2233","0.1541","-7.9382","2.052e-15 ***","bc"
"Naspot 10 (Kabode)","-1.5609","0.1626","-9.6014","< 2.2e-16 ***","d"
"Naspot 12","-1.6185","0.1707","-9.4825","< 2.2e-16 ***","d"
"Naspot 13","-1.0402","0.1574","-6.6079","3.899e-11 ***","b"
"Naspot 8","-1.4351","0.1587","-9.0423","< 2.2e-16 ***","cd"
