"items","win_probs","worst_regret"
"Ejumula",0.439105983845359,0.20098556480157
"Naspot 8",0.0948903714580691,0.387716198956438
"Naspot 12",0.109872731723245,0.427090489491351
"Kakamega",0.114100136188294,0.459559153510033
"Naspot 13",0.152495725161257,0.49553663088328
"Naspot 10 (Kabode)",0.0895350516237759,0.508688293034123
